id,lang_code,title
2044,deu,Biohacking und kybernetische Biopolitik - Zur technischen Reformulierung des Lebens
2063,deu,Grundbegriffe der Kybernetik: eine Einführung
2092,deu,Verhaltensdesign: Technologische und ästhetische Programme der 1960er und 1970er Jahre
2344,deu,Fordern statt verwöhnen: die Erkenntnisse der Verhaltensbiologie in der Erziehung
2460,deu,Wie wir uns erfinden: eine Autobiographie des radikalen Konstruktivismus
2472,deu,Exploring Cybernetics: Kybernetik im interdisziplinären Diskurs
2474,deu,Entwicklungspsychopathologie und Psychotherapie: Kybernetische Modelle zur funktionellen Diagnostik bei Jugendlichen
2476,deu,Cybernetic Government: Informationstechnologie und Regierungsrationalität von 1943-1970
2477,deu,Beiträge zur Grundlegung einer operationsfähigen Dialektik: Metakritik der Logik nicht-aristotelische Logik Reflexion Stellenwerttheorie Dialektik Cybernetic ontology Morphogrammatik transklassische Maschinentheorie
2064,fra,Socialisme et cybernétique
2470,fra,Seconde cybernétique et complexité: Rencontres avec Heinz von Foerster
2471,fra,La Cybernétique
2473,fra,L'Empire cybernétique. Des machines à penser à la pensée machine
2475,fra,La cybernétique et l'origine de l'information
2065,ita,Saggi sulla cibernetica
2469,pol,Stosunek Filozofii Do Cybernetyki Czyli Sztuki Rządzenia Narodem. Rzecz Treści Politycznéj
2066,spa,Etica y cibernética: ensayos filosóficos
